Product,Category,Type,Price_Aldi,ppu_Aldi,Category_Aldi,Product_URL_Aldi,Price_Coles,ppu_Coles,Category_Coles,Product_URL_Coles,Price_IGA,ppu_IGA,Category_IGA,Product_URL_IGA,Price_Woolworths,ppu_Woolworths,Category_Woolworths,Product_URL_Woolworths,Average_Price
Ambrosia Apple each,Fruits,Apple,,,,,,,,,,,,,1.3,$1.30 / 1EA,Fruit & Veg,https://www.woolworths.com.au/shop/productdetails/90622/ambrosia-apple,1.3
Angas Park Apple 200g,Fruits,Apple,,,,,,,,,,,,,4.4,$22.00 / 1KG,Pantry,https://www.woolworths.com.au/shop/productdetails/235896/angas-park-apple,4.4
Apple Royal Gala each,Fruits,Apple,,,,,,,,,,,,,0.62,$0.62 / 1EA,Fruit & Veg,https://www.woolworths.com.au/shop/productdetails/155003/apple-royal-gala,0.62
Ardmona Apple Sliced 400g,Fruits,Apple,,,,,,,,,,,,,3.2,$8.00 / 1KG,Pantry,https://www.woolworths.com.au/shop/productdetails/32993/ardmona-apple-sliced,3.2
Bellamy's Organic Apple Snacks Apple 20g,Fruits,Apple,,,,,,,,,,,,,3.5,$17.50 / 100G,Baby,https://www.woolworths.com.au/shop/productdetails/331707/bellamy-s-organic-apple-snacks-apple,3.5
Activia Pouch Banana 140g,Fruits,Banana,,,,,,,,,,,,,2.25,$1.61 / 100G,Dairy Eggs & Fridge,https://www.woolworths.com.au/shop/productdetails/62823/activia-activia-pouch-banana,2.25
Baby Bellies Banana Pick Up Sticks 16g,Fruits,Banana,,,,,,,,,,,,,3.5,$21.88 / 100G,Baby,https://www.woolworths.com.au/shop/productdetails/111470/baby-bellies-banana-pick-up-sticks,3.5
Banana Cavendish (each),Fruits,Banana,,,,,,,,,0.54,3.00 per kg,Fruit & Veg,https://igashop.com.au/product/banana-cavendish/,,,,,0.54
Banana Red Tipped each,Fruits,Banana,,,,,,,,,,,,,0.99,$0.99 / 1EA,Fruit & Veg,https://www.woolworths.com.au/shop/productdetails/180148/banana-red-tipped,0.99
Orange Valencia 3kg bag,Fruits,Orange,,,,,,,,,,,,,6.5,$2.17 / 1KG,Fruit & Veg,https://www.woolworths.com.au/shop/productdetails/256488/orange-valencia,6.5
Oranges Navel Medium,Fruits,Orange,,,,,,,,,1.08,6.00 per kg,Fruit & Veg,https://igashop.com.au/product/oranges-navel-medium/,,,,,1.08
