Product,Category,Type,Price_Aldi,ppu_Aldi,Category_Aldi,Product_URL_Aldi,Price_Coles,ppu_Coles,Category_Coles,Product_URL_Coles,Price_IGA,ppu_IGA,Category_IGA,Product_URL_IGA,Price_Woolworths,ppu_Woolworths,Category_Woolworths,Product_URL_Woolworths,Average_Price,image
Ambrosia Apple each,Fruits,Apple,,,,,,,,,,,,,1.3,$1.30 / 1EA,Fruit & Veg,https://www.woolworths.com.au/shop/productdetails/90622/ambrosia-apple,1.3,https://cdn.productimages.coles.com.au/productimages/6/6536535.jpg
Angas Park Apple 200g,Fruits,Apple,,,,,,,,,,,,,4.4,$22.00 / 1KG,Pantry,https://www.woolworths.com.au/shop/productdetails/235896/angas-park-apple,4.4,https://assets.woolworths.com.au/images/1005/235896.jpg?impolicy=wowsmkqiema&w=600&h=600
Apple Royal Gala each,Fruits,Apple,,,,,,,,,,,,,0.62,$0.62 / 1EA,Fruit & Veg,https://www.woolworths.com.au/shop/productdetails/155003/apple-royal-gala,0.62,https://assets.woolworths.com.au/images/1005/155003.jpg?impolicy=wowsmkqiema&w=600&h=600
Ardmona Apple Sliced 400g,Fruits,Apple,,,,,,,,,,,,,3.2,$8.00 / 1KG,Pantry,https://www.woolworths.com.au/shop/productdetails/32993/ardmona-apple-sliced,3.2,https://assets.woolworths.com.au/images/1005/32993.jpg?impolicy=wowsmkqiema&w=600&h=600
Bellamy's Organic Apple Snacks Apple 20g,Fruits,Apple,,,,,,,,,,,,,3.5,$17.50 / 100G,Baby,https://www.woolworths.com.au/shop/productdetails/331707/bellamy-s-organic-apple-snacks-apple,3.5,https://assets.woolworths.com.au/images/1005/331707.jpg?impolicy=wowsmkqiema&w=600&h=600
Activia Pouch Banana 140g,Fruits,Banana,,,,,,,,,,,,,2.25,$1.61 / 100G,Dairy Eggs & Fridge,https://www.woolworths.com.au/shop/productdetails/62823/activia-activia-pouch-banana,2.25,https://assets.woolworths.com.au/images/1005/62823.jpg?impolicy=wowsmkqiema&w=600&h=600
Baby Bellies Banana Pick Up Sticks 16g,Fruits,Banana,,,,,,,,,,,,,3.5,$21.88 / 100G,Baby,https://www.woolworths.com.au/shop/productdetails/111470/baby-bellies-banana-pick-up-sticks,3.5,https://assets.woolworths.com.au/images/1005/111470.jpg?impolicy=wowsmkqiema&w=600&h=600
Banana Cavendish (each),Fruits,Banana,,,,,,,,,0.54,3.00 per kg,Fruit & Veg,https://igashop.com.au/product/banana-cavendish/,,,,,0.54,https://assets.woolworths.com.au/images/1005/133211.jpg?impolicy=wowsmkqiema&w=600&h=600
Banana Red Tipped each,Fruits,Banana,,,,,,,,,,,,,0.99,$0.99 / 1EA,Fruit & Veg,https://www.woolworths.com.au/shop/productdetails/180148/banana-red-tipped,0.99,https://assets.woolworths.com.au/images/1005/180148.jpg?impolicy=wowsmkqiema&w=600&h=600
Orange Valencia 3kg bag,Fruits,Orange,,,,,,,,,,,,,6.5,$2.17 / 1KG,Fruit & Veg,https://www.woolworths.com.au/shop/productdetails/256488/orange-valencia,6.5,https://assets.woolworths.com.au/images/1005/256488.jpg?impolicy=wowsmkqiema&w=600&h=600
