Product,Price_Aldi,ppu_Aldi,Category_Aldi,Product_URL_Aldi,Price_Coles,ppu_Coles,Category_Coles,Product_URL_Coles,Price_IGA,ppu_IGA,Category_IGA,Product_URL_IGA,Price_Woolworths,ppu_Woolworths,Category_Woolworths,Product_URL_Woolworths,Average_Price
Ambrosia Apple each,,,,,,,,,,,,,1.3,$1.30 / 1EA,Fruit & Veg,https://www.woolworths.com.au/shop/productdetails/90622/ambrosia-apple,1.3
Angas Park Apple 200g,,,,,,,,,,,,,4.4,$22.00 / 1KG,Pantry,https://www.woolworths.com.au/shop/productdetails/235896/angas-park-apple,4.4
Apple Royal Gala each,,,,,,,,,,,,,0.62,$0.62 / 1EA,Fruit & Veg,https://www.woolworths.com.au/shop/productdetails/155003/apple-royal-gala,0.62
Ardmona Apple Sliced 400g,,,,,,,,,,,,,3.2,$8.00 / 1KG,Pantry,https://www.woolworths.com.au/shop/productdetails/32993/ardmona-apple-sliced,3.2
Bellamy's Organic Apple Snacks Apple 20g,,,,,,,,,,,,,3.5,$17.50 / 100G,Baby,https://www.woolworths.com.au/shop/productdetails/331707/bellamy-s-organic-apple-snacks-apple,3.5
Activia Pouch Banana 140g,,,,,,,,,,,,,2.25,$1.61 / 100G,Dairy Eggs & Fridge,https://www.woolworths.com.au/shop/productdetails/62823/activia-activia-pouch-banana,2.25
Baby Bellies Banana Pick Up Sticks 16g,,,,,,,,,,,,,3.5,$21.88 / 100G,Baby,https://www.woolworths.com.au/shop/productdetails/111470/baby-bellies-banana-pick-up-sticks,3.5
Banana Cavendish (each),,,,,,,,,0.54,3.00 per kg,Fruit & Veg,https://igashop.com.au/product/banana-cavendish/,,,,,0.54
Banana Red Tipped each,,,,,,,,,,,,,0.99,$0.99 / 1EA,Fruit & Veg,https://www.woolworths.com.au/shop/productdetails/180148/banana-red-tipped,0.99
Orange Valencia 3kg bag,,,,,,,,,,,,,6.5,$2.17 / 1KG,Fruit & Veg,https://www.woolworths.com.au/shop/productdetails/256488/orange-valencia,6.5
Oranges Navel Medium,,,,,,,,,1.08,6.00 per kg,Fruit & Veg,https://igashop.com.au/product/oranges-navel-medium/,,,,,1.08
A2 Dairy Full Cream Milk 2L,,,,,5.3,$2.65 per 1L,Dairy Eggs Meals,https://shop.coles.com.au/a/national/product/a2-milk-full-cream-9760091p,,,,,,,,,5.3
A2 Full Cream Milk 2L,,,,,,,,,,,,,5.3,$2.65 / 1L,Dairy Eggs & Fridge,https://www.woolworths.com.au/shop/productdetails/208064/a2-full-cream-milk,5.3
A2 Light Fat Milk 1L,,,,,3.2,$3.20 per 1L,Dairy Eggs Meals,https://shop.coles.com.au/a/national/product/a2-milk-reduced-fat,,,,,,,,,3.2
Almond Breeze Flavoured Chocolate Milk 1L,,,,,,,,,,,,,2.0,$2.00 / 1L,Dairy Eggs & Fridge,https://www.woolworths.com.au/shop/productdetails/761612/almond-breeze-flavoured-chocolate-milk,2.0
Arnott'S Tee Vee Snacks Biscuits Chocolate Milk 165g,,,,,4.0,$2.42 per 100G,Pantry,https://shop.coles.com.au/a/national/product/arnotts-te-ve-snacks-biscuits-chocolate-milk,,,,,,,,,4.0
Arnott's Chocolate Malt Sticks TeeVee Snacks 175g,,,,,4.0,$2.29 per 100G,Kids Lunch Box,https://shop.coles.com.au/a/national/product/arnotts-biscuits-teevee-snacks-malt-sticks-chocolate,,,,,,,,,4.0
Burger Rings Burger Snacks 90g,,,,,,,,,,,,,2.0,$2.22 / 100G,Pantry,https://www.woolworths.com.au/shop/productdetails/82144/burger-rings-burger-snacks,2.0
Carman's Nutty Delights Health Snacks Dark Choc Cherry & Coconut 160g,,,,,6.0,$3.75 per 100G,Kids Lunch Box,https://shop.coles.com.au/a/national/product/carmans-nutty-delights-dark-choc-cherry-coconu,,,,,,,,,6.0
Fantastic Delites Rice Snacks Flame Grilled BBQ 100g,,,,,2.0,$2.00 per 100G,Kids Lunch Box,https://shop.coles.com.au/a/national/product/fantastic-rice-snacks-delites-flame-grill-bbq,,,,,,,,,2.0
